COLLEGE,BRANCH,CATEGORIES,Cutoff_2019,Cutoff_2020,Cutoff_2021,Cutoff_2022,Cutoff_2023,Cutoff_2024
JSS Science and Technology University(Formerly SJCE),EC Electronics,2AG,310,159,0,0,537,0
JSS Science and Technology University(Formerly SJCE),EC Electronics,GM,183,42,131,398,309,301
JSS Science and Technology University(Formerly SJCE),EC Electronics,SCG,826,46,0,0,0,0
JSS Science and Technology University(Formerly SJCE),EC Electronics,GMR,280,48,0,0,0,0
JSS Science and Technology University(Formerly SJCE),EC Electronics,SCR,0,0,0,0,0,0
JSS Science and Technology University(Formerly SJCE),EC Electronics,STG,0,0,2835,0,0,1794
JSS Science and Technology University(Formerly SJCE),EE Electrical,2AG,276,0,0,0,0,0
JSS Science and Technology University(Formerly SJCE),EE Electrical,GM,271,445,0,0,0,0
JSS Science and Technology University(Formerly SJCE),EE Electrical,SCG,769,0,0,0,0,0
JSS Science and Technology University(Formerly SJCE),EE Electrical,GMR,0,0,0,0,0,0
JSS Science and Technology University(Formerly SJCE),EE Electrical,SCR,0,0,0,0,0,0
JSS Science and Technology University(Formerly SJCE),EE Electrical,STG,0,635,0,0,0,0
JSS Science and Technology University(Formerly SJCE),ME Mechanical,2AG,266,0,3989,0,8236,0
JSS Science and Technology University(Formerly SJCE),ME Mechanical,GM,169,312,2178,772,4369,1803
JSS Science and Technology University(Formerly SJCE),ME Mechanical,SCG,761,0,9400,1560,15105,0
JSS Science and Technology University(Formerly SJCE),ME Mechanical,GMR,0,314,2961,0,5710,0
JSS Science and Technology University(Formerly SJCE),ME Mechanical,SCR,0,0,0,0,0,0
JSS Science and Technology University(Formerly SJCE),ME Mechanical,STG,0,0,0,0,0,0
K L E Dr. M S Sheshagiri College of Engineering and Technology,AI Artificial Intelligence,2AG,0,0,0,0,0,0
K L E Dr. M S Sheshagiri College of Engineering and Technology,AI Artificial Intelligence,GM,0,0,0,0,0,0
K L E Dr. M S Sheshagiri College of Engineering and Technology,AI Artificial Intelligence,SCG,0,0,0,0,0,0
K L E Dr. M S Sheshagiri College of Engineering and Technology,AI Artificial Intelligence,GMR,0,0,0,0,0,0
K L E Dr. M S Sheshagiri College of Engineering and Technology,AI Artificial Intelligence,SCR,0,0,0,0,0,0
K L E Dr. M S Sheshagiri College of Engineering and Technology,AI Artificial Intelligence,STG,0,0,0,0,0,0
K L E Dr. M S Sheshagiri College of Engineering and Technology,CE Civil,2AG,1007,871,13008,1764,0,3156
K L E Dr. M S Sheshagiri College of Engineering and Technology,CE Civil,GM,464,546,11264,873,18167,2549
K L E Dr. M S Sheshagiri College of Engineering and Technology,CE Civil,SCG,1099,1803,12925,3523,0,7624
K L E Dr. M S Sheshagiri College of Engineering and Technology,CE Civil,GMR,578,2381,0,0,0,0
K L E Dr. M S Sheshagiri College of Engineering and Technology,CE Civil,SCR,4034,0,0,0,0,14801
K L E Dr. M S Sheshagiri College of Engineering and Technology,CE Civil,STG,0,0,0,0,0,0
K L E Dr. M S Sheshagiri College of Engineering and Technology,CS Computers,2AG,4980,3133,14055,797,7967,4122
K L E Dr. M S Sheshagiri College of Engineering and Technology,CS Computers,GM,1418,1787,8635,792,5612,2252
K L E Dr. M S Sheshagiri College of Engineering and Technology,CS Computers,SCG,4240,6842,13836,1909,9927,10075
K L E Dr. M S Sheshagiri College of Engineering and Technology,CS Computers,GMR,3452,2971,16634,1470,0,4549
K L E Dr. M S Sheshagiri College of Engineering and Technology,CS Computers,SCR,0,0,0,0,0,0
K L E Dr. M S Sheshagiri College of Engineering and Technology,CS Computers,STG,0,0,0,1473,0,0
K L E Dr. M S Sheshagiri College of Engineering and Technology,EC Electronics,2AG,1067,1935,0,2027,0,0
K L E Dr. M S Sheshagiri College of Engineering and Technology,EC Electronics,GM,605,779,10650,1584,3555,3449
